RegionName,City,State,Metro,CountyName,SizeRank,Month,MedianRentalPricePerSqft
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2010-02,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2010-03,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2010-04,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2010-05,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2010-06,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2010-07,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2010-08,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2010-09,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2010-10,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2010-11,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2010-12,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2011-01,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2011-02,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2011-03,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2011-04,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2011-05,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2011-06,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2011-07,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2011-08,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2011-09,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2011-10,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2011-11,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2011-12,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2012-01,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2012-02,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2012-03,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2012-04,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2012-05,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2012-06,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2012-07,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2012-08,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2012-09,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2012-10,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2012-11,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2012-12,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2013-01,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2013-02,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2013-03,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2013-04,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2013-05,
Columbia Heights,Washington,DC,Washington,District of Columbia,150,2013-06,
